country,confirmed,death,population
Afghanistan,40687,1507,38041754
Albania,18556,469,2854191
Algeria,55630,1897,43053054
Andorra,4038,69,77142
Angola,8829,265,31825295
Antigua and Barbuda,122,3,97118
Argentina,1069368,28338,44938712
Armenia,73310,1145,2957731
Australia,27495,905,25364307
Austria,74415,954,8877067
Azerbaijan,48221,656,10023318
Bahamas,6268,130,389482
Bahrain,79574,311,1641172
Bangladesh,396413,5761,163046161
Barbados,226,7,287025
Belarus,91167,945,9466856
Belgium,287700,10658,11484055
Belize,3050,46,390353
Benin,2557,41,11801151
Bhutan,336,0,763092
Bolivia,140612,8608,11513100
Bosnia and Herzegovina,38493,1065,3301000
Botswana,5923,21,2303697
Brazil,5353656,156471,211049527
Brunei,148,3,433285
Bulgaria,36519,1077,6975761
Burkina Faso,2433,65,20321378
Myanmar,42365,1038,54045420
Burundi,553,1,11530580
Cabo Verde,8198,94,549935
Cambodia,287,0,16486542
Cameroon,21570,425,25876380
Canada,214519,9940,37589262
Central African Republic,4862,62,4745185
Chad,1423,96,15946876
Chile,498906,13844,18952038
China,91108,4739,1397715000
Colombia,998942,29802,50339443
Comoros,517,7,850886
"Congo, Rep.",5156,92,5380508
"Congo, Dem. Rep.",11122,304,86790567
Costa Rica,101826,1265,5047561
Cote d'Ivoire,20405,121,25716544
Croatia,31717,413,4067500
Cuba,6479,128,11333483
Cyprus,3314,25,1198575
Czech Republic,238323,1971,10669709
Denmark,39129,697,5818553
Djibouti,5528,61,973560
Dominica,37,0,71808
Dominican Republic,122873,2212,10738958
Ecuador,158270,12528,17373662
Egypt,106230,6176,100388073
El Salvador,32421,940,6453553
Equatorial Guinea,5074,83,1355986
Estonia,4300,73,1326590
Eswatini,5831,116,1148130
Ethiopia,92229,1400,112078730
Fiji,33,2,889953
Finland,14474,353,5520314
France,1084659,34536,67059887
Gabon,8919,54,2172579
Gambia,3659,119,2347706
Georgia,24562,183,3720382
Germany,426110,10008,83132799
Ghana,47601,314,30417856
Greece,29057,559,10716322
Grenada,27,0,112003
Guatemala,103902,3594,16604026
Guinea,11635,71,12771246
Guinea-Bissau,2403,41,1920922
Guyana,3960,117,782766
Haiti,9015,231,11263077
Honduras,91509,2604,9746117
Hungary,54278,1352,9769949
Iceland,4308,11,361313
India,7814682,117956,1366417754
Indonesia,381910,13077,270625568
Iran,556891,31985,82913906
Iraq,445949,10513,39309783
Ireland,55261,1878,4941444
Israel,308840,2329,9053300
Italy,484869,37059,60297396
Jamaica,8638,182,2948279
Japan,95868,1706,126264931
Jordan,48930,508,10101694
Kazakhstan,110250,1796,18513930
Kenya,47843,884,52573973
"Korea, Rep.",25775,457,51709098
Kuwait,120232,740,4207083
Kyrgyz Republic,54588,1126,6456900
Laos,24,0,7169455
Latvia,4208,50,1912789
Lebanon,68479,559,6855713
Lesotho,1934,43,2125268
Liberia,1393,82,4937374
Libya,53384,774,6777452
Liechtenstein,324,1,38019
Lithuania,9104,126,2786844
Luxembourg,12851,141,619896
Madagascar,16810,238,26969307
Malawi,5885,183,18628747
Malaysia,24514,214,31949777
Maldives,11391,37,530953
Mali,3444,132,19658031
Malta,5258,49,502653
Mauritania,7662,163,4525696
Mauritius,435,10,1265711
Mexico,880775,88312,127575529
Moldova,70256,1654,2657637
Monaco,295,2,38964
Mongolia,328,0,3225167
Montenegro,16436,255,622137
Morocco,190416,3205,36471769
Mozambique,11748,82,30366036
Namibia,12501,133,2494530
Nepal,153008,829,28608710
Netherlands,278546,7026,17332850
New Zealand,1934,25,4917000
Nicaragua,5434,155,6545502
Niger,1215,69,23310715
Nigeria,61882,1129,200963599
North Macedonia,25991,883,2083459
Norway,17532,279,5347896
Oman,111837,1147,4974986
Pakistan,327063,6727,216565318
Panama,127866,2622,4246439
Papua New Guinea,583,7,8776109
Paraguay,58259,1278,7044636
Peru,879876,33984,32510453
Philippines,365799,6915,108116615
Poland,228318,4172,37970874
Portugal,112440,2276,10269417
Qatar,130711,229,2832067
Romania,201032,6245,19356544
Russia,1471000,25353,144373535
Rwanda,5052,34,12626950
St. Kitts and Nevis,19,0,52823
St. Lucia,48,0,182790
St. Vincent and the Grenadines,73,0,110589
San Marino,819,42,33860
Sao Tome and Principe,938,15,215056
Saudi Arabia,344157,5264,34268528
Senegal,15525,321,16296364
Serbia,38115,786,6944975
Seychelles,153,0,97625
Sierra Leone,2343,74,7813215
Singapore,57951,28,5703569
Slovak Republic,37911,134,5454073
Slovenia,19307,214,2087946
Solomon Islands,4,0,669823
Somalia,3897,102,15442905
South Africa,712412,18891,58558270
South Sudan,2876,56,11062113
Spain,1046132,34752,47076781
Sri Lanka,7153,14,21803000
Sudan,13724,836,42813238
Suriname,5155,109,581372
Sweden,110594,5933,10285453
Switzerland,103653,2067,8574832
Syria,5319,264,17070135
Tajikistan,10695,81,9321018
Tanzania,509,21,58005463
Thailand,3731,59,69625582
Timor-Leste,29,0,1293119
Togo,2162,52,8082366
Trinidad and Tobago,5487,104,1394973
Tunisia,47214,784,11694719
Turkey,357693,9658,83429615
Uganda,11163,99,44269594
Ukraine,340042,6336,44385155
United Arab Emirates,122273,475,9770529
United Kingdom,834010,44661,66834405
Uruguay,2759,53,3461734
United States,8514677,224214,328239523
Uzbekistan,64724,542,33580650
Venezuela,88718,764,28515829
Vietnam,1148,35,96462106
West Bank and Gaza,49579,439,4685306
Yemen,2060,599,29161922
Zambia,16095,346,17861030
Zimbabwe,8257,236,14645468
